BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10
1,01019,0010,,2021,,,,,,50417.0,505185.0,429670.0,2483.0,
1,01019,1101,1142,2021,,,,,,2078938.0,32599810.0,,9681906.0,
1,01019,0054,,2021,55096.0,9400.0,,147984.0,,212480.0,43719.0,,5384.0,
1,01019,0060,,2021,8426.0,,,,,207987.0,35996.0,11428.0,412.0,
1,01019,0008,,2021,,,,,,685406.0,20105.0,,,
1,01020,0136,,2021,,,,,,242379.0,106624.0,,,
1,01019,0001,,2021,9160001.0,,,,,11258910.0,6885767.0,392632.0,900846.0,36061012500
1,01020,0036,,2021,,,,,,738285.0,337011.0,,,
1,01020,0035,,2021,,,,,,362248.0,163837.0,,,
1,01021,0001,,2021,,17082281.0,,,,21121442.0,6871255.0,,3153754.0,36061012500
1,01021,0043,,2021,,,,,,223413.0,79989.0,17842.0,,
1,01022,0101,,2021,,,,,,,45197.0,,,
1,01022,0035,,2021,,,2382222.0,205738.0,,4527733.0,2389879.0,360439.0,329051.0,
1,01021,0045,,2021,,,36000.0,,,3745999.0,1332092.0,,213741.0,
1,01023,0001,,2021,,292252.0,,,,493824.0,258656.0,13873.0,93464.0,
1,01023,0051,,2021,69476.0,164715.0,,7050.0,,603202.0,261322.0,,38039.0,
1,01023,0053,,2021,,,,,,620634.0,213505.0,96950.0,,
1,01023,0059,,2021,,,,,,369542.0,40500.0,,653.0,
1,01022,0043,,2021,,,160999808.0,1213462.0,,193191189.0,51181031.0,19949076.0,3465331.0,
1,01023,0006,,2021,223285.0,1434642.0,,,,1845891.0,498359.0,,98903.0,
1,01024,0131,,2021,,,376405.0,,,817067.0,1028255.0,83187.0,166867.0,
1,01024,0015,,2021,,,55234040.0,,,65405114.0,15046655.0,3989291.0,1982429.0,
1,01024,0038,,2021,,34548025.0,4387258.0,,,42837818.0,17920434.0,5303180.0,1669299.0,
1,01024,0052,,2021,,23090783.0,,,,24591138.0,11893455.0,371891.0,783096.0,
1,01023,0061,,2021,81692.0,7481051.0,,,,8175382.0,3037947.0,30277.0,439391.0,
1,01025,1011,1011,2021,,57675.0,,,,57675.0,23667.0,,7103.0,
1,01025,1001,1001,2021,,,,,,20403.0,10359.0,6736.0,,
1,01025,1013,1013,2021,,,,,,13920.0,4572.0,,34.0,
1,01025,0025,,2021,,,28340752.0,,,34574043.0,9610059.0,444833.0,929678.0,
1,01025,0019,,2021,50845.0,377108.0,,,,516543.0,329350.0,9821.0,44310.0,
1,01025,0051,,2021,,,,,,383382.0,99501.0,,30529.0,
1,01025,0054,,2021,,,4599509.0,,,5059446.0,1011911.0,124836.0,230438.0,
1,01026,1002,1002,2021,,,,,,1318630.0,294065.0,43128.0,33412.0,
1,01026,1003,1003,2021,129638.0,7200576.0,,,,7408097.0,2771425.0,273957.0,315549.0,
1,01026,0035,,2021,9508.0,,,,,9508.0,74286.0,,8657.0,
1,01026,0036,,2021,,,,,,250407.0,84911.0,,46161.0,
1,01026,0037,,2021,93374.0,,,,,320243.0,429002.0,,102976.0,
1,01026,0055,,2021,,,79498960.0,,,95904546.0,24293938.0,9741226.0,687204.0,
1,01026,0054,,2021,,,16500.0,535642.0,,552142.0,17763.0,,,
1,01027,0102,,2021,13584.0,92400.0,,,,177984.0,75621.0,,15288.0,
1,01027,0103,,2021,109743.0,31021.0,,,,314076.0,193406.0,,38300.0,
1,01027,0101,,2021,,154785.0,,,,238785.0,75631.0,,14477.0,
1,01027,1502,1502,2021,,,55008975.0,,,59167274.0,9141578.0,88268.0,1019158.0,
1,01027,0160,,2021,,114755.0,,,,271520.0,116650.0,,29092.0,
1,01027,0001,,2021,74400.0,,,,,396950.0,121375.0,39585.0,2850.0,
1,01027,0003,,2021,5624.0,17600.0,,,,150424.0,91961.0,,23488.0,
1,01027,0020,,2021,,,30596416.0,,,39978121.0,14785669.0,4359217.0,1128916.0,
1,01027,0056,,2021,,,,42012.0,,165312.0,235018.0,128114.0,36237.0,
1,01027,0063,,2021,,,674183.0,,,1486824.0,277091.0,,35375.0,
1,01027,0007,,2021,,,413600.0,,,413600.0,1294353.0,,66647.0,
1,01027,0058,,2021,,309603.0,,,,392567.0,241094.0,,66721.0,
1,01028,1001,1002,2021,,12444972.0,,,,15825634.0,12931713.0,268527.0,5305260.0,
1,01028,1101,1101,2021,,,6272671.0,,,6272671.0,223353.0,,,
1,01028,1104,1104,2021,,,,,,540283.0,10001.0,,,
1,01028,1103,1103,2021,,,,,,2681360.0,100009.0,,,
1,01028,0042,,2021,,,,,,,431241.0,,106380.0,
1,01028,0056,,2021,,,20138452.0,,,31947880.0,14630830.0,5798683.0,1155423.0,
1,01029,1001,1001,2021,,,47372404.0,2274200.0,,77924986.0,17056978.0,4914073.0,923807.0,
1,01029,0012,,2021,,,4682821.0,,,6926434.0,4129671.0,1192707.0,353918.0,
1,01032,1001,1001,2021,,,,,,293548.0,241569.0,,99645.0,
1,01028,0017,,2021,11337589.0,,,360480.0,,12355921.0,6244729.0,329670.0,1202173.0,
1,01032,0101,,2021,19598.0,,,,,19598.0,63572.0,4000.0,,
1,00010,0032,,2021,,180000.0,,,,607917.0,35569.0,,5121.0,
1,01032,0004,,2021,29040.0,11400.0,,,,55440.0,29391.0,,441.0,
1,01032,0048,,2021,,,49880.0,,,84638.0,3509533.0,53175.0,236388.0,
1,01032,0061,,2021,,,,,,244830.0,83021.0,,,
1,01032,0063,,2021,31812.0,18900.0,,,,50712.0,28501.0,,854.0,
1,01033,0161,,2021,87516.0,55029.0,,,,374023.0,104368.0,1773.0,53036.0,
1,01033,0162,,2021,,112726.0,,,,330917.0,98288.0,1671.0,49992.0,
1,01033,0018,,2021,86533.0,20355.0,,,1988.0,445868.0,70173.0,214.0,7080.0,
1,01032,0103,,2021,11844.0,49212.0,,,,61056.0,26530.0,,,
1,01033,0029,,2021,,,,,,6623161.0,368057.0,,16429.0,
1,01033,0022,,2021,155605.0,88372.0,,255480.0,,499457.0,209192.0,,18061.0,
1,01033,0063,,2021,,80093.0,,,,257372.0,79811.0,1358.0,40618.0,
1,01033,0045,,2021,409870.0,24600.0,,,,512770.0,156930.0,6724.0,31194.0,
1,01033,0064,,2021,,70847.0,,,,229725.0,71522.0,1217.0,36402.0,
1,00839,1034,1034,2021,,,636998.0,,,844063.0,237317.0,,6919.0,
1,01034,0010,,2021,383314.0,,,,,383314.0,136829.0,,53644.0,
1,01034,0004,,2021,,,,,,943481.0,47773.0,16832.0,1750.0,
1,01034,0027,,2021,169427.0,,,,,169427.0,103443.0,,10910.0,
1,01034,0060,,2021,,71388.0,,,,205788.0,61210.0,,10767.0,
1,01034,1001,1001,2021,,,5936067.0,,,6725018.0,2543977.0,247264.0,174567.0,
1,01034,0061,,2021,,,,,,723090.0,167074.0,,5948.0,
1,01034,0009,,2021,909200.0,,,,,909200.0,319334.0,,115388.0,
1,01034,0007,,2021,693894.0,,,,,693894.0,245819.0,,88063.0,
1,01034,0063,,2021,,,,295000.0,,367047.0,99781.0,,,
1,01035,0017,,2021,,,5891281.0,,,8030161.0,2729688.0,137935.0,888109.0,
1,01035,0001,,2021,,,7257274.0,,,10958991.0,4441320.0,863292.0,535654.0,
1,01035,0012,,2021,206885.0,,,,327.0,270429.0,125248.0,5213.0,23109.0,
1,01035,0029,,2021,,,1466526.0,,,1696071.0,620144.0,,58150.0,
1,01035,0036,,2021,,,,,,232436.0,600986.0,,41702.0,
1,01035,0005,,2021,84852.0,486311.0,,,4439.0,577608.0,278503.0,25726.0,58892.0,
1,01035,0047,,2021,3113308.0,,,187584.0,,3330208.0,2134089.0,278896.0,180113.0,
1,01035,0054,,2021,240143.0,45127.0,,,5234.0,295969.0,128079.0,6035.0,36645.0,
1,01035,0055,,2021,,475820.0,,,,475820.0,677903.0,56127.0,33101.0,
1,01035,0058,,2021,105164.0,180671.0,,,,285835.0,84616.0,,3134.0,
1,01035,0057,,2021,,,,,,197638.0,125320.0,,2949.0,
1,01036,0010,,2021,156004.0,1295186.0,,,,1451190.0,742468.0,,88849.0,
1,01035,0059,,2021,11886.0,445251.0,,,,457137.0,189661.0,,35435.0,
1,01036,0157,,2021,,151688.0,,,,282928.0,149967.0,,7888.0,
1,01036,0161,,2021,90885.0,,,,,142871.0,90618.0,,13793.0,
1,01036,0162,,2021,112024.0,,,,,112024.0,64791.0,,8041.0,
1,01036,0001,,2021,157256.0,130680.0,,,,616185.0,256677.0,,126162.0,
1,01036,0002,,2021,212302.0,,,,,490576.0,112966.0,,1550.0,
1,01036,0041,,2021,,,,168000.0,,446131.0,480008.0,118274.0,31589.0,
1,01036,0004,,2021,179362.0,,,,,206362.0,115617.0,,3386.0,
1,01036,0046,,2021,10115.0,60795.0,,,,82910.0,67326.0,,7536.0,
1,01036,0049,,2021,,,,,,182000.0,11414.0,,1051.0,
1,01036,0051,,2021,15484.0,23348.0,,,,38832.0,55122.0,,9845.0,
1,01036,0005,,2021,224842.0,,,,,225140.0,496563.0,151661.0,64929.0,
1,01036,0052,,2021,,,,474261.0,,809101.0,56151.0,,30921.0,
1,01036,0054,,2021,198239.0,696106.0,,,,937358.0,381054.0,65820.0,66386.0,
1,01036,0057,,2021,,,,,,84000.0,54143.0,,14921.0,
1,01036,0060,,2021,262845.0,,,,,262845.0,175862.0,,5978.0,
1,01036,0063,,2021,28022.0,325579.0,,,,366161.0,194366.0,,22282.0,
1,01037,1001,1001,2021,231399.0,,,,,232529.0,186293.0,,33479.0,
1,01037,0010,,2021,59822.0,200346.0,,11529.0,,647922.0,207656.0,,65976.0,
1,01037,0005,,2021,,60000.0,,,,576093.0,76577.0,,26906.0,
1,01037,0113,,2021,,72000.0,,,,72000.0,51418.0,,8500.0,
1,01037,0013,,2021,78396.0,,,,,241548.0,85775.0,,12625.0,
1,01037,0024,,2021,,91890.0,,,,91890.0,313970.0,,11184.0,
1,01037,0038,,2021,1065717.0,620761.0,114627.0,,,1839134.0,619279.0,,86785.0,
1,01037,0040,,2021,1065717.0,620761.0,114627.0,,,1839134.0,619279.0,,86785.0,
1,01037,0047,,2021,65954.0,384568.0,,,,557322.0,105836.0,12547.0,6460.0,
1,01037,0048,,2021,29610.0,470028.0,,,,630299.0,119347.0,14148.0,7285.0,
1,01037,0049,,2021,123516.0,291486.0,,,,415202.0,289203.0,,37347.0,
1,01037,0051,,2021,115980.0,365806.0,,,,481946.0,489640.0,,82734.0,
1,01037,0005,,2021,,60000.0,,,,576093.0,76577.0,,26906.0,
1,01037,0002,,2021,85394.0,,,,,251268.0,78904.0,,26358.0,
1,01037,0057,,2021,7975.0,190202.0,,,,198177.0,103794.0,11880.0,36660.0,
1,01037,0059,,2021,106908.0,687477.0,,,,795485.0,663582.0,,96141.0,
1,01037,0063,,2021,,,,,,31114.0,71406.0,22802.0,1290.0,
1,01037,0064,,2021,42205.0,82340.0,,,,403533.0,190725.0,,48995.0,
1,01037,0009,,2021,,,,,,267829.0,40595.0,,,
1,01038,0001,,2021,,49380.0,,,,55620.0,111705.0,,43627.0,
1,01038,0020,,2021,66288.0,335649.0,,,,401937.0,490454.0,,80669.0,
1,01037,0058,,2021,83114.0,341647.0,,,,424761.0,150690.0,11045.0,42905.0,
1,01038,0025,,2021,216972.0,,,,,216972.0,137270.0,7326.0,39357.0,
1,01038,0029,,2021,,,,,,2099570.0,72624.0,8713.0,3739.0,
1,01038,0003,,2021,,157111.0,199354.0,,,365558.0,63059.0,,12089.0,
1,01038,0004,,2021,144088.0,111829.0,,,,465917.0,131985.0,,51691.0,
1,01038,0027,,2021,156876.0,165427.0,,,,322303.0,111610.0,15794.0,8355.0,
1,01039,0011,,2021,,242625.0,,,,242925.0,99640.0,,23028.0,
1,01038,0005,,2021,86732.0,244865.0,,,23641.0,355238.0,198741.0,,3050.0,
1,01038,0052,,2021,179725.0,,,,,179725.0,152075.0,,45207.0,
1,01039,0015,,2021,,253955.0,,,,253955.0,45433.0,,6247.0,
1,01039,0001,,2021,660659.0,,,,,1139586.0,833394.0,14496.0,280009.0,
1,01039,0029,,2021,307191.0,,,,,861164.0,306037.0,,28975.0,
1,01039,0030,,2021,,,,,,298654.0,267689.0,4231.0,168.0,
