,BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10,repairs_percent_of_expenses,expenses_percent_of_income
44,1,1011,13,,2021,320226.0,3453654.0,22500.0,,,3813471.0,2929203.0,,588793.0,,20.10079192189821,76.81199096571076
45,1,1011,4003,4003.0,2021,,,,,,667329.0,190429.0,5138.0,23.0,,0.012077992322597923,28.535999484512136
46,1,1011,5001,5001.0,2021,,,366233.0,,,271916.0,507951.0,14340.0,34072.0,,6.707733619975155,186.8043807646479
47,1,1011,5002,5002.0,2021,,,,,,,161989.0,5788.0,14978.0,,9.246306847995852,
48,1,1011,7001,7001.0,2021,,,,,,973624.0,119664.0,,15453.0,,12.913658243080626,12.290576238876609
49,1,1012,1101,1103.0,2021,,,4423323.0,,,6638698.0,7120468.0,1606004.0,1089242.0,,15.297337197498816,107.25699527226573
50,1,1012,15,,2021,,,3193040.0,9566348.0,,15145277.0,5544824.0,644228.0,473105.0,,8.532371811981768,36.610911771372685
51,1,1012,23,,2021,,,2212550.0,,,2446787.0,438770.0,,60302.0,,13.743419103402694,17.932496780471695
52,1,1012,25,,2021,,,50000.0,,,136200.0,120660.0,5729.0,38505.0,,31.911984087518647,88.59030837004406
53,1,1012,32,,2021,,,788075.0,,,1390399.0,930624.0,,57935.0,,6.225392854686747,66.93215400759063
54,1,1013,1001,1001.0,2021,,,,,,861005.0,783796.0,38492.0,57440.0,,7.328437501594803,91.03268854420125
55,1,1013,1002,1002.0,2021,,,82905286.0,586773.0,,99446417.0,28757555.0,8385854.0,3877232.0,,13.482481386195733,28.9176381286819
56,1,1013,29,,2021,,,58786347.0,,,75796672.0,16453945.0,,1862719.0,,11.32080482826459,21.70800454141311
57,1,1014,1,,2021,,,,,,4804623.0,4765615.0,693279.0,1310258.0,,27.493996052975323,99.18811527980446
58,1,1014,33,,2021,,,15201672.0,34961066.0,,57810013.0,14744524.0,2276138.0,3485841.0,,23.64159738218745,25.505138703220844
59,1,1015,1001,1001.0,2021,,,1586966.0,,,11520612.0,1858315.0,,228262.0,,12.283278130995013,16.130349672395877
60,1,1015,29,,2021,,,22080436.0,,,38928614.0,23524583.0,7966930.0,2918728.0,,12.407140224334688,60.43005538291191
61,1,10,1,,2021,,,,,,318564.0,130875.0,,1276.0,,0.9749761222540593,41.082796549515955
62,1,1015,59,,2021,,,467074.0,,,919656.0,195832.0,,72289.0,,36.91378324277952,21.294049079220926
63,1,10,16,,2021,,,13465419.0,,,16371421.0,7656651.0,2082292.0,1145986.0,,14.967196493610588,46.76839597491262
64,1,1016,36,,2021,,,68129887.0,,,130072948.0,42966297.0,10818739.0,3832631.0,,8.920086829916947,33.03246190745212
65,1,1017,1001,1001.0,2021,,,,,,1669551.0,937947.0,,307183.0,,32.75057119432122,56.17959559186871
66,1,1015,61,,2021,,,45880.0,,,280213.0,145250.0,,55628.0,,38.29810671256455,51.83556794295768
67,1,1017,1002,1002.0,2021,,,,5500000.0,,46088865.0,9827207.0,3469544.0,135301.0,,1.3768001427058574,21.32230203542656
68,1,1018,61,,2021,,,,,,982419.0,317817.0,2675.0,103962.0,,32.711277244452,32.35045331981568
69,1,1018,55,,2021,46314.0,169895.0,,,,216209.0,59548.0,,6903.0,,11.592328877544166,27.54186920988488
70,1,1019,1001,1001.0,2021,,,,,,6216749.0,1681328.0,390674.0,285472.0,,16.978959489165707,27.04513243175814
71,1,1019,10,,2021,,,,,,50417.0,505185.0,429670.0,2483.0,,0.4915031127210824,1002.0132098300177
72,1,1019,1101,1142.0,2021,,,,,,2078938.0,32599810.0,,9681906.0,,29.699271253421415,1568.0991929533252
73,1,1019,54,,2021,55096.0,9400.0,,147984.0,,212480.0,43719.0,,5384.0,,12.315011779775384,20.57558358433735
74,1,1019,60,,2021,8426.0,,,,,207987.0,35996.0,11428.0,412.0,,1.1445716190687854,17.30685090895104
75,1,1019,8,,2021,,,,,,685406.0,20105.0,,,,,2.9332979285270335
76,1,1020,136,,2021,,,,,,242379.0,106624.0,,,,,43.990609747544134
77,1,1019,1,,2021,9160001.0,,,,,11258910.0,6885767.0,392632.0,900846.0,36061012500.0,13.08272557000549,61.15838034054807
78,1,1020,36,,2021,,,,,,738285.0,337011.0,,,,,45.64781893171336
79,1,1020,35,,2021,,,,,,362248.0,163837.0,,,,,45.22785495019986
80,1,1021,1,,2021,,17082281.0,,,,21121442.0,6871255.0,,3153754.0,36061012500.0,45.89778723100802,32.5321301452808
81,1,1021,43,,2021,,,,,,223413.0,79989.0,17842.0,,,,35.803198560513486
82,1,1022,101,,2021,,,,,,,45197.0,,,,,
83,1,1022,35,,2021,,,2382222.0,205738.0,,4527733.0,2389879.0,360439.0,329051.0,,13.768521335180568,52.783125683427
84,1,1021,45,,2021,,,36000.0,,,3745999.0,1332092.0,,213741.0,,16.045513372950214,35.56039390293484
85,1,1023,1,,2021,,292252.0,,,,493824.0,258656.0,13873.0,93464.0,,36.13447977236175,52.37817522032141
86,1,1023,51,,2021,69476.0,164715.0,,7050.0,,603202.0,261322.0,,38039.0,,14.556371067112606,43.3224690899566
87,1,1023,53,,2021,,,,,,620634.0,213505.0,96950.0,,,,34.40111241085728
88,1,1023,59,,2021,,,,,,369542.0,40500.0,,653.0,,1.6123456790123458,10.95951204463904
89,1,1022,43,,2021,,,160999808.0,1213462.0,,193191189.0,51181031.0,19949076.0,3465331.0,,6.770733086639072,26.492425076383793
90,1,1023,6,,2021,223285.0,1434642.0,,,,1845891.0,498359.0,,98903.0,,19.845733697996828,26.99828971483148
91,1,1024,131,,2021,,,376405.0,,,817067.0,1028255.0,83187.0,166867.0,,16.22817297265756,125.84708475559532
92,1,1024,15,,2021,,,55234040.0,,,65405114.0,15046655.0,3989291.0,1982429.0,,13.175214025974544,23.005318819565087
93,1,1024,38,,2021,,34548025.0,4387258.0,,,42837818.0,17920434.0,5303180.0,1669299.0,,9.31505899912915,41.83320915178266
94,1,1024,52,,2021,,23090783.0,,,,24591138.0,11893455.0,371891.0,783096.0,,6.58425999846134,48.36480117349591
95,1,1023,61,,2021,81692.0,7481051.0,,,,8175382.0,3037947.0,30277.0,439391.0,,14.463418881237889,37.15969480080564
96,1,1025,1011,1011.0,2021,,57675.0,,,,57675.0,23667.0,,7103.0,,30.012253348544387,41.035110533159944
97,1,1025,1001,1001.0,2021,,,,,,20403.0,10359.0,6736.0,,,,50.77194530216145
98,1,1025,1013,1013.0,2021,,,,,,13920.0,4572.0,,34.0,,0.7436570428696413,32.8448275862069
99,1,1025,25,,2021,,,28340752.0,,,34574043.0,9610059.0,444833.0,929678.0,,9.674009285478892,27.795589309586965
100,1,1025,19,,2021,50845.0,377108.0,,,,516543.0,329350.0,9821.0,44310.0,,13.453772582359191,63.76042265600347
101,1,1025,51,,2021,,,,,,383382.0,99501.0,,30529.0,,30.682103697450273,25.953487644177347
102,1,1025,54,,2021,,,4599509.0,,,5059446.0,1011911.0,124836.0,230438.0,,22.772556084477785,20.00043087721462
103,1,1026,1002,1002.0,2021,,,,,,1318630.0,294065.0,43128.0,33412.0,,11.362113818373489,22.300797039351448
104,1,1026,1003,1003.0,2021,129638.0,7200576.0,,,,7408097.0,2771425.0,273957.0,315549.0,,11.385803332220789,37.41075474578694
105,1,1026,35,,2021,9508.0,,,,,9508.0,74286.0,,8657.0,,11.653609024580675,781.299957930164
106,1,1026,36,,2021,,,,,,250407.0,84911.0,,46161.0,,54.36398110963244,33.90919582919008
107,1,1026,37,,2021,93374.0,,,,,320243.0,429002.0,,102976.0,,24.003617698751984,133.96139806334563
108,1,1026,55,,2021,,,79498960.0,,,95904546.0,24293938.0,9741226.0,687204.0,,2.828705663116453,25.33137271720154
109,1,1026,54,,2021,,,16500.0,535642.0,,552142.0,17763.0,,,,,3.217107193439369
110,1,1027,102,,2021,13584.0,92400.0,,,,177984.0,75621.0,,15288.0,,20.216606498194945,42.48752696871629
111,1,1027,103,,2021,109743.0,31021.0,,,,314076.0,193406.0,,38300.0,,19.802901667993755,61.57936295673658
112,1,1027,101,,2021,,154785.0,,,,238785.0,75631.0,,14477.0,,19.14162182173976,31.67326255836841
113,1,1027,1502,1502.0,2021,,,55008975.0,,,59167274.0,9141578.0,88268.0,1019158.0,,11.148600383872456,15.450395771148761
114,1,1027,160,,2021,,114755.0,,,,271520.0,116650.0,,29092.0,,24.939562794684957,42.96184443134944
115,1,1027,1,,2021,74400.0,,,,,396950.0,121375.0,39585.0,2850.0,,2.348094747682801,30.57689885375992
116,1,1027,3,,2021,5624.0,17600.0,,,,150424.0,91961.0,,23488.0,,25.54126205674144,61.134526405360845
117,1,1027,20,,2021,,,30596416.0,,,39978121.0,14785669.0,4359217.0,1128916.0,,7.635204061446256,36.98440204330764
118,1,1027,56,,2021,,,,42012.0,,165312.0,235018.0,128114.0,36237.0,,15.418818984077815,142.16632791327913
119,1,1027,63,,2021,,,674183.0,,,1486824.0,277091.0,,35375.0,,12.766564052964549,18.636435785271154
120,1,1027,7,,2021,,,413600.0,,,413600.0,1294353.0,,66647.0,,5.149059027946781,312.9480174081238
121,1,1027,58,,2021,,309603.0,,,,392567.0,241094.0,,66721.0,,27.674268127784185,61.41473939480394
122,1,1028,1001,1002.0,2021,,12444972.0,,,,15825634.0,12931713.0,268527.0,5305260.0,,41.02519132616073,81.71371206992403
123,1,1028,1101,1101.0,2021,,,6272671.0,,,6272671.0,223353.0,,,,,3.5607319433778692
124,1,1028,1104,1104.0,2021,,,,,,540283.0,10001.0,,,,,1.851066940843965
125,1,1028,1103,1103.0,2021,,,,,,2681360.0,100009.0,,,,,3.7297863770623865
126,1,1028,42,,2021,,,,,,,431241.0,,106380.0,,24.668340904505833,
127,1,1028,56,,2021,,,20138452.0,,,31947880.0,14630830.0,5798683.0,1155423.0,,7.897180132637724,45.79593387730266
128,1,1029,1001,1001.0,2021,,,47372404.0,2274200.0,,77924986.0,17056978.0,4914073.0,923807.0,,5.416006282003765,21.888971529619525
129,1,1029,12,,2021,,,4682821.0,,,6926434.0,4129671.0,1192707.0,353918.0,,8.570125804210553,59.62189201542959
130,1,1032,1001,1001.0,2021,,,,,,293548.0,241569.0,,99645.0,,41.24908411261379,82.29284478177334
131,1,1028,17,,2021,11337589.0,,,360480.0,,12355921.0,6244729.0,329670.0,1202173.0,,19.251003526333967,50.5403765530712
132,1,1032,101,,2021,19598.0,,,,,19598.0,63572.0,4000.0,,,,324.3800387794673
133,1,10,32,,2021,,180000.0,,,,607917.0,35569.0,,5121.0,,14.397368495037814,5.850963207148344
134,1,1032,4,,2021,29040.0,11400.0,,,,55440.0,29391.0,,441.0,,1.5004593242829438,53.01406926406926
135,1,1032,48,,2021,,,49880.0,,,84638.0,3509533.0,53175.0,236388.0,,6.7355970153293905,4146.521656938964
136,1,1032,61,,2021,,,,,,244830.0,83021.0,,,,,33.909651594984275
137,1,1032,63,,2021,31812.0,18900.0,,,,50712.0,28501.0,,854.0,,2.9963860917160803,56.20168796340117
138,1,1033,161,,2021,87516.0,55029.0,,,,374023.0,104368.0,1773.0,53036.0,,50.81634217384639,27.90416632132249
139,1,1033,162,,2021,,112726.0,,,,330917.0,98288.0,1671.0,49992.0,,50.862770633241084,29.701707678964816
140,1,1033,18,,2021,86533.0,20355.0,,,1988.0,445868.0,70173.0,214.0,7080.0,,10.089350604933522,15.738514537934995
141,1,1032,103,,2021,11844.0,49212.0,,,,61056.0,26530.0,,,,,43.45191299790356
142,1,1033,29,,2021,,,,,,6623161.0,368057.0,,16429.0,,4.46371078392749,5.557119931102385
143,1,1033,22,,2021,155605.0,88372.0,,255480.0,,499457.0,209192.0,,18061.0,,8.633695361199281,41.8838859000875
144,1,1033,63,,2021,,80093.0,,,,257372.0,79811.0,1358.0,40618.0,,50.892734084274096,31.00997777536018
145,1,1033,45,,2021,409870.0,24600.0,,,,512770.0,156930.0,6724.0,31194.0,,19.87765245650927,30.604364529906196
146,1,1033,64,,2021,,70847.0,,,,229725.0,71522.0,1217.0,36402.0,,50.89622773412377,31.133746871259117
147,1,839,1034,1034.0,2021,,,636998.0,,,844063.0,237317.0,,6919.0,,2.915509634792282,28.11602925374054
148,1,1034,10,,2021,383314.0,,,,,383314.0,136829.0,,53644.0,,39.205139261413876,35.69632207537424
149,1,1034,4,,2021,,,,,,943481.0,47773.0,16832.0,1750.0,,3.6631570133757565,5.063482995418032
150,1,1034,27,,2021,169427.0,,,,,169427.0,103443.0,,10910.0,,10.546871223765745,61.05461349135616
151,1,1034,60,,2021,,71388.0,,,,205788.0,61210.0,,10767.0,,17.590263028916844,29.744202771784558
152,1,1034,1001,1001.0,2021,,,5936067.0,,,6725018.0,2543977.0,247264.0,174567.0,,6.861972415631117,37.8285530239473
153,1,1034,61,,2021,,,,,,723090.0,167074.0,,5948.0,,3.560099117756204,23.10556085687812
154,1,1034,9,,2021,909200.0,,,,,909200.0,319334.0,,115388.0,,36.133953791328196,35.12252529696436
155,1,1034,7,,2021,693894.0,,,,,693894.0,245819.0,,88063.0,,35.82432602850065,35.42601607738358
156,1,1034,63,,2021,,,,295000.0,,367047.0,99781.0,,,,,27.184801946344745
157,1,1035,17,,2021,,,5891281.0,,,8030161.0,2729688.0,137935.0,888109.0,,32.535183508151846,33.992942358191826
158,1,1035,1,,2021,,,7257274.0,,,10958991.0,4441320.0,863292.0,535654.0,,12.060693667648357,40.526723673739674
159,1,1035,12,,2021,206885.0,,,,327.0,270429.0,125248.0,5213.0,23109.0,,18.45059402146142,46.31455945922959
160,1,1035,29,,2021,,,1466526.0,,,1696071.0,620144.0,,58150.0,,9.376854408008462,36.563563671568
161,1,1035,36,,2021,,,,,,232436.0,600986.0,,41702.0,,6.938930357778716,258.559775594142
162,1,1035,5,,2021,84852.0,486311.0,,,4439.0,577608.0,278503.0,25726.0,58892.0,,21.14591225229172,48.21661057326076
163,1,1035,47,,2021,3113308.0,,,187584.0,,3330208.0,2134089.0,278896.0,180113.0,,8.43980733699485,64.08275399014116
164,1,1035,54,,2021,240143.0,45127.0,,,5234.0,295969.0,128079.0,6035.0,36645.0,,28.611247745532054,43.27446455540952
165,1,1035,55,,2021,,475820.0,,,,475820.0,677903.0,56127.0,33101.0,,4.882851971447242,142.4704720272372
166,1,1035,58,,2021,105164.0,180671.0,,,,285835.0,84616.0,,3134.0,,3.703791245154581,29.603092693337064
167,1,1035,57,,2021,,,,,,197638.0,125320.0,,2949.0,,2.3531758697733802,63.40885862030581
168,1,1036,10,,2021,156004.0,1295186.0,,,,1451190.0,742468.0,,88849.0,,11.966711023236018,51.162700955767335
169,1,1035,59,,2021,11886.0,445251.0,,,,457137.0,189661.0,,35435.0,,18.683335002979,41.488875326215116
170,1,1036,157,,2021,,151688.0,,,,282928.0,149967.0,,7888.0,,5.259823827908806,53.005358253689984
171,1,1036,161,,2021,90885.0,,,,,142871.0,90618.0,,13793.0,,15.22103776291686,63.42644763457944
172,1,1036,162,,2021,112024.0,,,,,112024.0,64791.0,,8041.0,,12.410674322050902,57.8367135613797
173,1,1036,1,,2021,157256.0,130680.0,,,,616185.0,256677.0,,126162.0,,49.15204712537547,41.65583388105845
174,1,1036,2,,2021,212302.0,,,,,490576.0,112966.0,,1550.0,,1.3720942584494449,23.027216985747366
175,1,1036,41,,2021,,,,168000.0,,446131.0,480008.0,118274.0,31589.0,,6.580931984466925,107.59350952971212
176,1,1036,4,,2021,179362.0,,,,,206362.0,115617.0,,3386.0,,2.928635062317825,56.02630329227281
177,1,1036,46,,2021,10115.0,60795.0,,,,82910.0,67326.0,,7536.0,,11.193298280010694,81.20371487154746
178,1,1036,49,,2021,,,,,,182000.0,11414.0,,1051.0,,9.207990187489049,6.2714285714285705
179,1,1036,51,,2021,15484.0,23348.0,,,,38832.0,55122.0,,9845.0,,17.86038242444033,141.94993819530285
180,1,1036,5,,2021,224842.0,,,,,225140.0,496563.0,151661.0,64929.0,,13.075682239715805,220.55743093186462
181,1,1036,52,,2021,,,,474261.0,,809101.0,56151.0,,30921.0,,55.06758561735321,6.939924681838237
182,1,1036,54,,2021,198239.0,696106.0,,,,937358.0,381054.0,65820.0,66386.0,,17.42167776745553,40.65191741042376
183,1,1036,57,,2021,,,,,,84000.0,54143.0,,14921.0,,27.55850248416231,64.45595238095238
184,1,1036,60,,2021,262845.0,,,,,262845.0,175862.0,,5978.0,,3.399256235002445,66.90711255683007
185,1,1036,63,,2021,28022.0,325579.0,,,,366161.0,194366.0,,22282.0,,11.463939166315097,53.0821141519714
186,1,1037,1001,1001.0,2021,231399.0,,,,,232529.0,186293.0,,33479.0,,17.97115296871058,80.11602853837586
187,1,1037,10,,2021,59822.0,200346.0,,11529.0,,647922.0,207656.0,,65976.0,,31.771776399429825,32.04953682696374
188,1,1037,5,,2021,,60000.0,,,,576093.0,76577.0,,26906.0,,35.13587630750747,13.292471875200707
189,1,1037,113,,2021,,72000.0,,,,72000.0,51418.0,,8500.0,,16.53117585281419,71.41388888888889
190,1,1037,13,,2021,78396.0,,,,,241548.0,85775.0,,12625.0,,14.71874089186826,35.51054034808816
191,1,1037,24,,2021,,91890.0,,,,91890.0,313970.0,,11184.0,,3.562123769786922,341.68026988790945
192,1,1037,38,,2021,1065717.0,620761.0,114627.0,,,1839134.0,619279.0,,86785.0,,14.013877428428867,33.672315339719674
193,1,1037,40,,2021,1065717.0,620761.0,114627.0,,,1839134.0,619279.0,,86785.0,,14.013877428428867,33.672315339719674
194,1,1037,47,,2021,65954.0,384568.0,,,,557322.0,105836.0,12547.0,6460.0,,6.103783211761593,18.99009908096217
195,1,1037,48,,2021,29610.0,470028.0,,,,630299.0,119347.0,14148.0,7285.0,,6.104049536226299,18.93498165156537
196,1,1037,49,,2021,123516.0,291486.0,,,,415202.0,289203.0,,37347.0,,12.913766454704827,69.65356621596234
197,1,1037,51,,2021,115980.0,365806.0,,,,481946.0,489640.0,,82734.0,,16.896903847724857,101.59644441493445
198,1,1037,5,,2021,,60000.0,,,,576093.0,76577.0,,26906.0,,35.13587630750747,13.292471875200707
199,1,1037,2,,2021,85394.0,,,,,251268.0,78904.0,,26358.0,,33.40515056270911,31.402327395450275
200,1,1037,57,,2021,7975.0,190202.0,,,,198177.0,103794.0,11880.0,36660.0,,35.319960691369445,52.37439258844366
201,1,1037,59,,2021,106908.0,687477.0,,,,795485.0,663582.0,,96141.0,,14.488186840511045,83.41854340433824
202,1,1037,63,,2021,,,,,,31114.0,71406.0,22802.0,1290.0,,1.8065708763969415,229.49797518801827
203,1,1037,64,,2021,42205.0,82340.0,,,,403533.0,190725.0,,48995.0,,25.688818980207106,47.26379255228197
204,1,1037,9,,2021,,,,,,267829.0,40595.0,,,,,15.157059168349955
205,1,1038,1,,2021,,49380.0,,,,55620.0,111705.0,,43627.0,,39.05554809542993,200.83603020496224
206,1,1038,20,,2021,66288.0,335649.0,,,,401937.0,490454.0,,80669.0,,16.447821814074306,122.02260553270787
207,1,1037,58,,2021,83114.0,341647.0,,,,424761.0,150690.0,11045.0,42905.0,,28.472360475147656,35.47642085784712
208,1,1038,25,,2021,216972.0,,,,,216972.0,137270.0,7326.0,39357.0,,28.671231878779047,63.26622790037424
209,1,1038,29,,2021,,,,,,2099570.0,72624.0,8713.0,3739.0,,5.148435778805904,3.458993984482537
210,1,1038,3,,2021,,157111.0,199354.0,,,365558.0,63059.0,,12089.0,,19.17093515596505,17.250067020828432
211,1,1038,4,,2021,144088.0,111829.0,,,,465917.0,131985.0,,51691.0,,39.16429897336818,28.32800691968741
212,1,1038,27,,2021,156876.0,165427.0,,,,322303.0,111610.0,15794.0,8355.0,,7.485888361257952,34.628905098618375
213,1,1039,11,,2021,,242625.0,,,,242925.0,99640.0,,23028.0,,23.11120032115616,41.01677472470927
214,1,1038,5,,2021,86732.0,244865.0,,,23641.0,355238.0,198741.0,,3050.0,,1.534660689037491,55.94587290774072
215,1,1038,52,,2021,179725.0,,,,,179725.0,152075.0,,45207.0,,29.72677954956436,84.61538461538461
216,1,1039,15,,2021,,253955.0,,,,253955.0,45433.0,,6247.0,,13.749917460876453,17.89017739363273
217,1,1039,1,,2021,660659.0,,,,,1139586.0,833394.0,14496.0,280009.0,,33.59863401944339,73.13129504925473
218,1,1039,29,,2021,307191.0,,,,,861164.0,306037.0,,28975.0,,9.467809447877219,35.53759794882276
219,1,1039,30,,2021,,,,,,298654.0,267689.0,4231.0,168.0,,0.06275939616495262,89.63181474214308
220,1,1039,14,,2021,365145.0,27600.0,,,,392745.0,136242.0,,15858.0,,11.639582507596776,34.689684146201735
221,1,1039,32,,2021,522676.0,1648033.0,,,6983.0,3200763.0,1611351.0,89098.0,377311.0,,23.41581691388158,50.34271515885431
222,1,1039,60,,2021,88410.0,312420.0,,,,400830.0,180019.0,,80531.0,,44.73472244596404,44.91155851607914
223,1,1039,26,,2021,,83400.0,,33050.0,,144950.0,327268.0,12375.0,21536.0,,6.580539496681618,225.77992411176265
224,1,1039,62,,2021,54379.0,374454.0,,,,429772.0,176452.0,11407.0,72319.0,,40.98508376215628,41.05711865826531
225,1,1040,50,,2021,,,,,,5925509.0,5746334.0,3616845.0,769699.0,,13.394609502336621,96.97620913241377
226,1,1039,9,,2021,,,,,,584486.0,182195.0,,65946.0,,36.19528527127528,31.17183302936255
227,1,1040,50,,2021,,,,,,5925509.0,5746334.0,3616845.0,769699.0,,13.394609502336621,96.97620913241377
228,1,1039,6,,2021,,247821.0,,,,247821.0,66608.0,4279.0,8453.0,,12.690667787653135,26.877463976014948
229,1,1040,29,,2021,,,117444915.0,,,150641709.0,36099160.0,10348667.0,4761931.0,,13.191251541587118,23.963588995130163
230,1,1041,19,,2021,3898056.0,,,,,4716016.0,1019123.0,118743.0,136099.0,,13.354521485630292,21.60982914392148
231,1,1041,29,,2021,,11271228.0,,,,16727563.0,3084541.0,2266.0,248623.0,,8.060291628478922,18.43987076898171
232,1,1041,3,,2021,24000.0,17883.0,,,,61490.0,128212.0,,5678.0,,4.428602626899198,208.50870060172383
